TT        PID       AT        CT        IO_D      WT        RT        TRT       Deadline
449       51        50        49        6         350       155       399       34        
451       125       315       55        0         81        316       136       0         
451       126       318       53        0         128       319       133       0         
451       127       319       53        0         132       0         132       0         
451       131       323       49        0         128       0         128       0         
451       129       320       51        0         124       444       131       0         
451       144       446       49        0         1         447       5         0         
451       145       448       47        0         3         0         3         0         
456       44        47        51        4         358       47        409       75        
463       77        15        69        0         379       301       448       0         
463       128       319       51        0         144       0         144       0         
464       31        34        29        6         401       111       430       52        
468       35        37        35        14        396       45        431       47        
511       55        53        47        0         411       144       458       52        
536       13        18        59        11        459       131       518       57        
543       66        67        65        12        411       130       476       60        
548       57        54        69        0         425       70        494       38        
550       148       476       69        0         5         477       74        0         
550       150       482       64        0         25        483       68        0         
550       151       486       61        0         64        0         64        0         
550       153       491       56        0         59        0         59        0         
550       152       488       58        0         62        0         62        0         
556       64        64        80        6         412       64        492       29        
582       10        16        81        12        485       17        566       56        
586       23        28        78        8         480       151       558       109       
600       28        32        75        11        493       59        568       21        
607       40        43        52        9         512       261       564       100       
632       29        32        73        0         527       40        600       82        
644       140       413       96        0         135       414       231       0         
644       141       418       92        0         212       452       226       0         
644       146       455       89        0         136       456       189       0         
644       149       477       68        0         133       520       167       0         
644       154       525       63        0         118       526       119       0         
644       155       526       63        0         118       0         118       0         
644       156       532       56        0         112       0         112       0         
644       147       456       88        0         188       0         188       0         
644       142       419       91        0         216       551       225       0         
644       157       554       88        0         84        555       90        0         
644       158       556       87        0         88        0         88        0         
644       159       558       84        0         65        559       86        0         
644       160       563       80        0         46        564       81        0         
644       161       564       80        0         17        565       80        0         
644       163       566       79        0         78        0         78        0         
644       165       573       72        0         71        0         71        0         
644       164       567       77        0         69        631       77        0         
644       167       633       75        0         2         634       11        0         
644       168       639       70        0         2         640       5         0         
644       169       640       69        0         4         0         4         0         
644       162       566       77        0         78        0         78        0         
658       12        18        90        0         550       20        640       63        
661       71        3         100       0         558       409       658       0         
661       143       420       89        0         234       645       241       0         
661       170       652       82        0         2         653       9         0         
661       171       658       77        0         1         659       3         0         
662       22        28        95        0         539       38        634       70        
669       73        6         77        0         586       327       663       0         
669       132       329       75        0         284       330       340       0         
669       135       338       67        0         331       0         331       0         
669       133       330       74        0         335       664       339       0         
670       60        60        59        17        551       111       610       59        
679       166       627       16        0         36        662       52        0         
679       172       677       2         0         2         678       2         0         
680       46        49        79        10        552       59        631       52        
697       50        49        71        0         577       49        648       11        
701       24        28        88        13        585       53        673       104       
701       1         3         100       5         598       3         698       88        
705       47        49        69        12        587       91        656       31        
715       58        56        73        8         586       56        659       79        
734       68        69        77        14        588       163       665       82        
738       53        52        82        0         604       72        686       76        
742       2         5         78        0         659       5         737       108       
751       26        32        89        0         630       221       719       77        
818       39        43        100       9         675       153       775       98        

Processes : 172
AVG WT=216.852      AVG RT=150.798      AVG TRT=254.229
Migiration :%      RTF = 12.7907 %        MaxW = 26.7442 %
Work Steal :       16.2791 %
Forked Processes : 33.1395 %
killed Proceeses : 52.907  %


Processors : 11 [4 FCFS ,3 SJF ,3 RR , 1 DEF ]
Procesores load
P1 = 1.94626 %    P2 = 1.85324 %    P3 = 1.56345 %    P4 = 1.61712 %    P5 = 1.99635 %    P6 = 2.27541 %    P7 = 1.94626 %    P8 = 1.46685 %    P9 = 1.48474 %    P10 = 1.35952 %    P11 = 1.38814 %    

Processores Utiliz
P1 = 66.4225 %    P2 = 63.2479 %    P3 = 53.3578 %    P4 = 55.1893 %    P5 = 68.1319 %    P6 = 77.6557 %    P7 = 66.4225 %    P8 = 50.0611 %    P9 = 50.6716 %    P10 = 46.398  %    P11 = 47.3748 %    
AVG Utilization = 58.6303 %

Percentage of Process completed before expected deadline = 1.16279 %
