TT        PID       AT        CT        IO_D      WT        RT        TRT       Deadline
488       93        431       57        0         49        432       57        0         
488       94        432       57        0         56        0         56        0         
488       95        436       53        0         52        0         52        0         
492       15        15        35        0         442       22        477       60        
539       24        27        25        24        487       27        512       35        
571       16        15        44        24        512       27        556       37        
572       96        489       74        0         9         490       83        0         
572       97        490       74        0         82        0         82        0         
572       98        491       73        0         81        0         81        0         
643       37        43        66        19        534       43        600       83        
648       2         3         32        33        613       3         645       57        
654       34        39        37        21        578       208       615       72        
661       22        25        73        0         563       183       636       39        
673       28        34        30        31        609       80        639       90        
673       18        19        24        28        630       42        654       78        
710       29        35        49        0         626       55        675       71        
711       102       627       69        0         15        638       84        0         
711       104       641       66        0         70        0         70        0         
711       105       646       63        0         65        0         65        0         
766       31        37        51        24        678       37        729       67        
768       50        55        76        0         637       192       713       101       
773       43        50        69        32        654       50        723       39        
783       106       712       68        0         3         713       71        0         
783       107       713       68        0         70        0         70        0         
783       108       717       64        0         66        0         66        0         
795       23        25        66        16        704       51        770       56        
829       48        54        90        16        685       54        775       41        
829       88        355       69        0         474       0         474       0         
833       47        54        62        35        717       60        779       64        
847       39        44        40        25        763       51        803       46        
847       112       814       9         0         33        0         33        0         
847       113       815       8         0         32        0         32        0         
847       42        48        46        28        753       131       799       41        
853       103       628       68        0         157       712       225       0         
853       110       784       68        0         69        0         69        0         
869       99        492       71        0         306       573       377       0         
869       100       575       69        0         294       0         294       0         
869       101       576       69        0         293       0         293       0         
896       32        37        62        19        797       175       859       85        
944       64        60        74        0         810       489       884       0         
947       8         8         76        46        863       10        939       78        
952       30        37        74        8         841       37        915       67        
987       26        30        90        40        867       107       957       53        
1022      111       786       76        0         160       945       236       0         
1022      114       945       76        0         73        946       77        0         
1022      115       947       75        0         75        0         75        0         
1022      116       947       74        0         75        0         75        0         
1044      14        13        96        14        935       24        1031      75        
1051      20        23        99        0         929       40        1028      55        
1056      35        40        53        26        963       120       1016      83        
1058      40        46        47        16        965       92        1012      86        
1069      7         7         76        33        986       7         1062      75        
1112      109       784       78        0         250       1023      328       0         
1112      117       1023      78        0         89        0         89        0         
1112      118       1026      76        0         86        0         86        0         
1134      45        53        85        6         996       84        1081      100       
1135      13        13        87        9         1035      21        1122      87        
1148      25        29        50        34        1069      29        1119      108       
1155      19        21        94        21        1040      30        1134      108       
1160      38        43        81        7         1036      46        1117      89        
1172      17        17        90        0         1065      17        1155      106       
1172      119       1133      27        0         23        1149      39        0         
1172      123       1151      25        0         1         1152      21        0         
1172      125       1154      23        0         18        0         18        0         
1172      126       1158      19        0         14        0         14        0         
1172      124       1153      23        0         19        0         19        0         
1172      120       1137      23        0         30        1138      35        0         
1172      121       1138      23        0         34        0         34        0         
1172      122       1139      22        0         33        0         33        0         

Processes : 126
AVG WT=355.162      AVG RT=152.563      AVG TRT=393.31 
Migiration :%      RTF = 8.73016 %        MaxW = 31.746 %
Work Steal :       34.127  %
Forked Processes : 32.5397 %
killed Proceeses : 47.619  %


Processors : 6 [2 FCFS ,1 SJF ,2 RR , 1 DEF ]
Procesores load
P1 = 1.83032 %    P2 = 1.85578 %    P3 = 2.07078 %    P4 = 1.62381 %    P5 = 1.58137 %    P6 = 1.95762 %    

Processores Utiliz
P1 = 55.1577 %    P2 = 55.925  %    P3 = 62.4041 %    P4 = 48.9344 %    P5 = 47.6556 %    P6 = 58.994  %    
AVG Utilization = 54.8451 %

Percentage of Process completed before expected deadline = 0 %
