TT        PID       AT        CT        IO_D      WT        RT        TRT       Deadline
681       170       646       41        0         35        0         35        0         
682       56        52        64        0         566       103       630       70        
689       11        11        69        9         609       14        678       58        
703       155       508       79        0         116       557       195       0         
703       161       557       79        0         81        558       146       0         
703       174       692       24        0         2         693       11        0         
703       175       697       20        0         6         0         6         0         
703       176       698       19        0         5         0         5         0         
703       177       702       14        0         1         703       1         0         
705       54        50        54        11        601       50        655       63        
707       47        44        99        0         564       94        663       51        
709       95        115       80        0         514       507       594       0         
716       7         9         98        15        609       46        707       26        
737       91        101       93        0         543       102       636       0         
738       16        16        80        24        642       20        722       109       
743       40        37        82        18        624       71        706       74        
753       22        23        57        12        673       49        730       84        
772       42        37        69        47        666       82        735       96        
777       48        45        90        25        642       74        732       51        
778       45        42        97        7         639       61        736       86        
806       43        39        68        0         699       56        767       81        
811       50        46        98        11        667       96        765       102       
820       41        37        67        21        716       124       783       51        
822       38        36        92        10        694       115       786       63        
836       46        44        93        0         699       67        792       40        
844       52        48        77        22        719       77        796       106       

Processes : 177
AVG WT=228.027      AVG RT=151.808      AVG TRT=266.05 
Migiration :%      RTF = 15.8192 %        MaxW = 24.8588 %
Work Steal :       12.4294 %
Forked Processes : 36.1582 %
killed Proceeses : 55.9322 %


Processors : 12 [5 FCFS ,2 SJF ,4 RR , 1 DEF ]
Procesores load
P1 = 1.39227 %    P2 = 1.64832 %    P3 = 1.5843  %    P4 = 1.52989 %    P5 = 1.48188 %    P6 = 1.66752 %    P7 = 1.67392 %    P8 = 1.48188 %    P9 = 1.14262 %    P10 = 1.31545 %    P11 = 1.52029 %    P12 = 1.35066 %    

Processores Utiliz
P1 = 51.4793 %    P2 = 60.9467 %    P3 = 58.5799 %    P4 = 56.568  %    P5 = 54.7929 %    P6 = 61.6568 %    P7 = 61.8935 %    P8 = 54.7929 %    P9 = 42.2485 %    P10 = 48.6391 %    P11 = 56.213  %    P12 = 49.9408 %    
AVG Utilization = 54.8126 %

Percentage of Process completed before expected deadline = 1.12994 %
