TT        PID       AT        CT        IO_D      WT        RT        TRT       Deadline
925       142       740       40        0         145       885       185       0         
925       148       904       21        0         1         905       21        0         
925       150       917       9         0         8         0         8         0         
925       149       907       18        0         2         908       18        0         
925       151       918       8         0         7         0         7         0         
925       152       923       3         0         2         0         2         0         
949       62        63        36        28        850       146       886       38        
970       26        30        55        25        885       45        940       33        
981       45        48        27        14        906       213       933       31        
990       43        47        87        29        856       47        943       57        
1042      48        51        40        19        951       53        991       78        
1052      39        42        48        0         962       42        1010      25        
1079      36        40        61        42        978       62        1039      11        
1105      83        85        29        38        991       147       1020      20        
1124      19        20        97        14        1007      23        1104      24        
1139      38        41        74        31        1024      74        1098      12        
1144      41        43        31        49        1070      85        1101      13        
1165      77        82        74        19        1009      174       1083      26        
1198      155       1185      12        0         1         1186      13        0         
1198      157       1192      6         0         6         0         6         0         
1199      154       1150      20        0         29        1151      49        0         
1203      50        51        62        23        1090      78        1152      60        
1207      156       1189      8         0         10        1199      18        0         
1210      55        55        84        13        1071      65        1155      49        
1211      153       1142      28        0         41        1166      69        0         
1220      24        27        32        21        1161      367       1193      92        
1224      22        25        99        0         1100      168       1199      39        
1265      67        67        87        26        1111      167       1198      57        
1299      76        82        33        0         1184      128       1217      102       
1309      75        80        65        5         1164      232       1229      94        
1314      82        85        25        23        1204      215       1229      83        
1325      28        31        96        42        1198      198       1294      41        
1332      32        36        38        22        1258      195       1296      107       
1366      27        31        80        14        1255      338       1335      57        
1382      64        63        52        0         1267      107       1319      78        
1383      58        59        93        19        1231      59        1324      42        
1386      20        22        54        8         1310      22        1364      95        
1416      15        16        65        8         1335      226       1400      81        
1449      158       1371      61        0         17        1387      78        0         
1449      159       1387      61        0         46        1388      62        0         
1449      160       1388      61        0         61        0         61        0         
1449      161       1389      60        0         60        0         60        0         
1449      162       1396      52        0         2         1397      53        0         
1449      163       1408      41        0         41        0         41        0         
1449      164       1416      33        0         33        0         33        0         
1453      81        85        98        0         1270      233       1368      46        
1458      52        54        63        17        1341      54        1404      101       
1462      63        63        51        41        1348      192       1399      93        
1471      17        20        94        29        1357      20        1451      91        
1471      166       1456      15        0         7         1463      15        0         
1471      167       1468      10        0         1         1469      3         0         
1471      168       1468      3         0         3         0         3         0         
1472      84        86        70        0         1316      809       1386      67        
1481      23        26        43        8         1412      159       1455      78        
1487      18        20        82        43        1385      22        1467      30        
1508      169       1481      26        0         1         1482      27        0         
1508      170       1489      19        0         12        1490      19        0         
1512      165       1450      33        0         29        1472      62        0         
1530      10        13        74        28        1443      16        1517      73        
1533      21        23        92        51        1418      40        1510      98        
1541      44        48        90        14        1403      153       1493      42        
1544      7         11        89        25        1444      11        1533      107       
1547      33        36        90        47        1421      36        1511      92        
1547      68        69        60        41        1418      138       1478      55        
1577      71        75        97        51        1405      238       1502      57        
1581      47        51        49        25        1481      51        1530      95        
1585      57        59        44        9         1482      498       1526      91        
1599      30        32        76        0         1491      101       1567      105       
1599      172       1581      18        0         17        1586      18        0         
1602      78        82        79        55        1441      181       1520      50        
1604      9         13        99        0         1492      144       1591      61        
1617      11        14        83        21        1520      35        1603      58        
1617      171       1580      31        0         21        1600      37        0         
1651      72        75        100       33        1476      156       1576      86        

Processes : 172
AVG WT=502.041      AVG RT=308.628      AVG TRT=545.893
Migiration :%      RTF = 5.23256 %        MaxW = 43.0233 %
Work Steal :       43.0233 %
Forked Processes : 32.5581 %
killed Proceeses : 37.7907 %


Processors : 7 [3 FCFS ,1 SJF ,2 RR , 1 DEF ]
Procesores load
P1 = 0.921335 %    P2 = 0.986607 %    P3 = 0.862339 %    P4 = 1.25522 %    P5 = 1.2615  %    P6 = 1.21882 %    P7 = 1.35313 %    

Processores Utiliz
P1 = 44.431  %    P2 = 47.5787 %    P3 = 41.586  %    P4 = 60.5327 %    P5 = 60.8354 %    P6 = 58.7772 %    P7 = 65.2542 %    
AVG Utilization = 54.1422 %

Percentage of Process completed before expected deadline = 0.581395 %
